TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,N_heat,N_isothermal
7.608e6,0.04996305,83.818,-5455.64,0.0,-4808.718333333333,1161.5666666666668,-0.23530016666666667,2345.1216666666664,2344.888333333334,0.00018223916666666666,0.0190074,0.017321966666666667,0.03632939999999999,6,0.05,0.05,0.05,1.0,500000,9500000
7.609e6,0.049931366666666664,83.52125,-5456.035,0.0,-4807.64,1160.8266666666668,-0.235278,2345.066666666667,2344.8316666666665,0.00014999949999999998,0.019052633333333333,0.01739085,0.036443500000000004,6,0.05,0.05,0.05,1.0,500000,9500000
7.61e6,0.050016649999999996,83.71088333333334,-5456.176666666667,0.0,-4807.441666666667,1162.8116666666667,-0.2351375,2342.905,2342.6699999999996,0.0001690915,0.019028549999999998,0.017424716666666663,0.036453266666666664,6,0.05,0.05,0.05,1.0,500000,9500000
7.611e6,0.04998295,84.5747,-5456.473333333332,0.0,-4808.173333333334,1162.0283333333336,-0.23523516666666666,2344.6266666666666,2344.393333333333,0.0008669523333333333,0.0190086,0.01736068333333333,0.0363693,6,0.05,0.05,0.05,1.0,500000,9500000
7.612e6,0.0500104,83.56203333333333,-5455.488333333334,0.0,-4805.936666666666,1162.6683333333333,-0.23504983333333332,2341.918333333333,2341.681666666667,2.3240238333333332e-5,0.019115316666666663,0.017400016666666667,0.03651535,6,0.05,0.05,0.05,1.0,500000,9500000
7.613e6,0.050178400000000005,83.62143333333334,-5455.046666666666,0.0,-4805.124999999999,1166.5716666666667,-0.23474533333333333,2337.35,2337.1133333333332,0.00010324883333333334,0.019080033333333333,0.01745565,0.036535700000000004,6,0.05,0.05,0.05,1.0,500000,9500000
7.614e6,0.0500361,83.55931666666666,-5455.633333333333,0.0,-4809.075,1163.265,-0.2352135,2344.7450000000003,2344.5099999999998,-2.3483833333333324e-5,0.0190171,0.017305483333333333,0.03632255,6,0.05,0.05,0.05,1.0,500000,9500000
7.615e6,0.05005608333333333,84.39165,-5456.046666666666,0.0,-4807.919999999999,1163.7300000000002,-0.2351093333333333,2343.3250000000003,2343.09,0.0007312981666666666,0.018979850000000003,0.017390183333333333,0.03637005,6,0.05,0.05,0.05,1.0,500000,9500000
7.616e6,0.049958350000000006,83.87986666666666,-5456.2716666666665,0.0,-4807.608333333334,1161.4566666666667,-0.23523550000000001,2345.483333333333,2345.2450000000003,0.00022208321666666669,0.01901971666666667,0.0174178,0.03643751666666666,6,0.05,0.05,0.05,1.0,500000,9500000
7.617e6,0.05000935,84.23723333333334,-5455.076666666667,0.0,-4806.255,1162.6416666666667,-0.23507183333333334,2343.141666666667,2342.9049999999997,0.00035746793333333335,0.019000466666666667,0.0174244,0.03642488333333334,6,0.05,0.05,0.05,1.0,500000,9500000
7.618e6,0.05001766666666666,83.95546666666667,-5455.79,0.0,-4806.34,1162.8366666666668,-0.23506483333333336,2343.181666666667,2342.9466666666667,0.00037510049999999996,0.019037683333333333,0.017445816666666666,0.03648348333333334,6,0.05,0.05,0.05,1.0,500000,9500000
7.619e6,0.050031933333333334,83.38151666666666,-5456.126666666666,0.0,-4807.329999999999,1163.1683333333333,-0.23510716666666667,2343.8866666666668,2343.65,-2.805783333333335e-5,0.019023416666666668,0.017455083333333333,0.036478500000000004,6,0.05,0.05,0.05,1.0,500000,9500000
7.62e6,0.049979166666666665,83.05843333333334,-5456.138333333333,0.0,-4808.72,1161.9416666666668,-0.2352761666666667,2346.6683333333335,2346.4300000000003,0.0002707488,0.018992850000000002,0.0174173,0.0364102,6,0.05,0.05,0.05,1.0,500000,9500000
7.621e6,0.0501249,83.14838333333334,-5454.963333333333,0.0,-4805.6849999999995,1165.3283333333334,-0.23486166666666666,2340.44,2340.205,-0.00021091678333333332,0.01906265,0.017461933333333336,0.03652458333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.622e6,0.0499359,83.52355,-5455.989999999999,0.0,-4808.6849999999995,1160.9333333333332,-0.235339,2347.9350000000004,2347.6983333333337,0.00033386683333333327,0.018985649999999996,0.017387333333333335,0.03637298333333334,6,0.05,0.05,0.05,1.0,500000,9500000
7.623e6,0.049927400000000004,82.90528333333333,-5457.1483333333335,0.0,-4810.325000000001,1160.7366666666667,-0.23545733333333332,2349.831666666667,2349.595,-0.00010438683333333336,0.01896988333333333,0.017411899999999998,0.0363818,6,0.05,0.05,0.05,1.0,500000,9500000
7.624e6,0.04987648333333334,83.03406666666666,-5456.583333333333,0.0,-4810.081666666667,1159.5516666666665,-0.23551766666666665,2350.9433333333336,2350.7083333333335,0.00018707450000000003,0.018968950000000002,0.017384016666666665,0.03635293333333334,6,0.05,0.05,0.05,1.0,500000,9500000
7.625e6,0.04997121666666667,83.73495,-5455.348333333334,0.0,-4807.221666666667,1161.7566666666667,-0.23519133333333334,2346.0816666666665,2345.8450000000003,0.00031953366666666663,0.0190427,0.0173697,0.03641236666666667,6,0.05,0.05,0.05,1.0,500000,9500000
7.626e6,0.050016766666666664,83.69666666666667,-5454.678333333333,0.0,-4806.88,1162.8133333333333,-0.23510116666666667,2344.7883333333334,2344.553333333333,0.00018509950000000002,0.01904985,0.0173438,0.036393666666666664,6,0.05,0.05,0.05,1.0,500000,9500000
7.627e6,0.049897783333333334,83.53215,-5455.395,0.0,-4809.6483333333335,1160.0500000000002,-0.23545800000000003,2350.5316666666668,2350.2966666666666,0.00025257296666666675,0.019017549999999998,0.017254349999999998,0.0362719,6,0.05,0.05,0.05,1.0,500000,9500000
7.628e6,0.049994116666666664,83.49985,-5455.068333333334,0.0,-4808.116666666667,1162.2883333333334,-0.23521483333333337,2346.975,2346.736666666667,5.8609516666666726e-5,0.0190485,0.01730323333333333,0.03635173333333334,6,0.05,0.05,0.05,1.0,500000,9500000
7.629e6,0.05013294999999999,83.44825,-5454.495,0.0,-4807.776666666668,1165.515,-0.23498483333333334,2343.486666666666,2343.255,0.00021065700000000003,0.01906948333333333,0.017270333333333335,0.03633981666666666,6,0.05,0.05,0.05,1.0,500000,9500000
7.63e6,0.04991508333333333,83.432,-5454.753333333333,0.0,-4808.085,1160.45,-0.23533150000000003,2348.9950000000003,2348.758333333333,0.00034960416666666663,0.0190126,0.01732506666666667,0.036337666666666664,6,0.05,0.05,0.05,1.0,500000,9500000
